"id","name","unit","minValMale","maxValMale","normalRangeMale","minValFemale","maxValFemale","normalRangeFemale","minValBaby","maxValBaby","normalRangeBaby","normalRangeDefault","createdAt","updatedAt","workspaceId","code","criticalMaxValBaby","criticalMaxValDefault","criticalMaxValFemale","criticalMaxValMale","criticalMinValBaby","criticalMinValDefault","criticalMinValFemale","criticalMinValMale"
"487","Alpha-1 Globulin","g/dL","0.1","0.3","0.1–0.3","0.1","0.3","0.1–0.3","0.1","0.3","0.1–0.3",,"2026-07-09 13:19:35.540","2026-07-09 13:19:35.540",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"488","Alpha-2 Globulin","g/dL","0.6","1","0.6–1.0","0.6","1","0.6–1.0","0.6","1","0.6–1.0",,"2026-07-09 13:19:35.725","2026-07-09 13:19:35.725",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"489","Beta Globulin","g/dL","0.7","1.2","0.7–1.2","0.7","1.2","0.7–1.2","0.7","1.2","0.7–1.2",,"2026-07-09 13:19:35.910","2026-07-09 13:19:35.910",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"490","Gamma Globulin","g/dL","0.7","1.6","0.7–1.6","0.7","1.6","0.7–1.6","0.3","1","0.3–1.0",,"2026-07-09 13:19:36.099","2026-07-09 13:19:36.099",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"491","Serum Protein Electrophoresis (SPEP) Interpretation","Interpretation",NULL,NULL,"Normal / Negative",NULL,NULL,"Normal / Negative",NULL,NULL,"Normal / Negative","Normal / Negative","2026-07-09 13:19:36.296","2026-07-09 13:19:36.296",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"492","Serum Total Protein","g/dL","6.4","8.3","6.4–8.3","6.4","8.3","6.4–8.3","6","8","6.0–8.0",,"2026-07-09 13:19:36.524","2026-07-09 13:19:36.524",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"493","INR","ratio","0.8","1.2","0.8–1.2","0.8","1.2","0.8–1.2","0.8","1.2","0.8–1.2",,"2026-07-09 13:19:36.773","2026-07-09 13:19:36.773",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"494","Platelet-Rich Plasma Procedure",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Procedure Performed","2026-07-09 13:19:36.976","2026-07-09 13:19:36.976",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"495","Procedure Status",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Successful / Unsuccessful","2026-07-09 13:19:37.223","2026-07-09 13:19:37.223",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"496","AFB Smear and Culture - Pus",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:37.423","2026-07-09 13:19:37.423",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"497","Pus Culture and Sensitivity",,NULL,NULL,"No growth",NULL,NULL,"No growth",NULL,NULL,"No growth","No growth","2026-07-09 13:19:38.214","2026-07-09 13:19:38.214",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"498","Microscopic Examination (Gram Stain)",,NULL,NULL,"No organism seen",NULL,NULL,"No organism seen",NULL,NULL,"No organism seen","No organism seen","2026-07-09 13:19:38.404","2026-07-09 13:19:38.404",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"499","Antibiotic Sensitivity","None",NULL,NULL,"N/A",NULL,NULL,"N/A",NULL,NULL,"N/A","Reported as Sensitive/Intermediate/Resistant","2026-07-09 13:19:38.589","2026-07-09 13:19:38.589",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"500","Alpha-Fetoprotein (AFP)","ng/mL",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Reference ranges depend on gestational age","2026-07-09 13:19:38.771","2026-07-09 13:19:38.771",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"501","Unconjugated Estriol (uE3)","ng/mL",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Reference ranges depend on gestational age","2026-07-09 13:19:38.959","2026-07-09 13:19:38.959",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"502","Human Chorionic Gonadotropin (hCG)","mIU/mL",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Reference ranges depend on gestational age","2026-07-09 13:19:39.145","2026-07-09 13:19:39.145",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"503","Inhibin-A","pg/mL",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Reference ranges depend on gestational age","2026-07-09 13:19:39.331","2026-07-09 13:19:39.331",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"504","Rheumatoid Factor (Qualitative)",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:39.520","2026-07-09 13:19:39.520",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"505","Rheumatoid Factor (Quantitative)","IU/mL","0","20","< 20","0","20","< 20","0","20","< 20","< 20 IU/mL","2026-07-09 13:19:39.710","2026-07-09 13:19:39.710",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"506","Rheumatoid Arthritis Factor","IU/mL","0","14","< 15 IU/mL","0","14","< 15 IU/mL","0","14","< 15 IU/mL","< 15 IU/mL","2026-07-09 13:19:39.887","2026-07-09 13:19:39.887",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"507","Blood Glucose Random (Repeat/Additional)","mg/dL","70","140","70-140","70","140","70-140","70","140","70-140","70-140","2026-07-09 13:19:40.072","2026-07-09 13:19:40.072",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"508","Random Blood Glucose","mg/dL","70","140","70-140","70","140","70-140","70","140","70-140","70-140","2026-07-09 13:19:40.257","2026-07-09 13:19:40.257",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"509","Reactive Mesothelial Cells",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:40.447","2026-07-09 13:19:40.447",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"510","Mycobacterium Tuberculosis Complex (MTB) - PCR",,NULL,NULL,"Not Detected",NULL,NULL,"Not Detected",NULL,NULL,"Not Detected","Not Detected","2026-07-09 13:19:40.631","2026-07-09 13:19:40.631",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"511","RDW-SD","fL","39","46","39.0–46.0","39","46","39.0–46.0","39","46","39.0–46.0",,"2026-07-09 13:19:40.809","2026-07-09 13:19:40.809",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"512","Respiratory Viruses Rapid Antigen Test",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:40.993","2026-07-09 13:19:40.993",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"513","Reticulocyte Count (Absolute)","×10^12/L","0.02","0.1","0.02–0.10","0.02","0.1","0.02–0.10","0.03","0.15","0.03–0.15",,"2026-07-09 13:19:41.171","2026-07-09 13:19:41.171",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"514","Reticulocyte Count (Percentage)","%","0.5","2.5","0.5–2.5","0.5","2.5","0.5–2.5","0.5","5","0.5–5.0",,"2026-07-09 13:19:41.360","2026-07-09 13:19:41.360",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"515","Rubella Virus IgG Antibody","IU/mL",NULL,NULL,"Negative: < 10 IU/mL; Equivocal: 10–15 IU/mL; Positive: > 15 IU/mL",NULL,NULL,"Negative: < 10 IU/mL; Equivocal: 10–15 IU/mL; Positive: > 15 IU/mL",NULL,NULL,"Negative: < 10 IU/mL; Equivocal: 10–15 IU/mL; Positive: > 15 IU/mL","Negative: < 10 IU/mL; Equivocal: 10–15 IU/mL; Positive: > 15 IU/mL","2026-07-09 13:19:41.549","2026-07-09 13:19:41.549",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"516","Rubella IgM","Index",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:41.737","2026-07-09 13:19:41.737",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"517","Rubella IgG Antibody","IU/mL",NULL,NULL,"Negative: <10 IU/mL, Positive: ≥10 IU/mL",NULL,NULL,"Negative: <10 IU/mL, Positive: ≥10 IU/mL",NULL,NULL,"Negative: <10 IU/mL, Positive: ≥10 IU/mL","Negative: <10 IU/mL, Positive: ≥10 IU/mL","2026-07-09 13:19:41.923","2026-07-09 13:19:41.923",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"518","Rubella IgM Antibody","Ratio",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:42.110","2026-07-09 13:19:42.110",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"519","Salmonella Typhi/Paratyphi Antigen","Interpretation",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:42.307","2026-07-09 13:19:42.307",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"520","Salmonella Typhi IgG/IgM Antibodies","Index",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:42.488","2026-07-09 13:19:42.488",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"521","Salmonella Typhi IgG Antibody (Typhi Dot)",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:42.673","2026-07-09 13:19:42.673",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"522","Salmonella Typhi IgM Antibody (Typhi Dot)",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:42.855","2026-07-09 13:19:42.855",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"523","Salmonella Typhi IgM (Typhi Dot)","Index",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:43.040","2026-07-09 13:19:43.040",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"524","SARS-CoV-2 IgG Antibody","Index",NULL,NULL,"Negative: < 1.0, Positive: >= 1.0",NULL,NULL,"Negative: < 1.0, Positive: >= 1.0",NULL,NULL,"Negative: < 1.0, Positive: >= 1.0","Negative: < 1.0, Positive: >= 1.0","2026-07-09 13:19:43.222","2026-07-09 13:19:43.222",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"525","SARS-CoV-2 (COVID-19) IgM Antibody","Index",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:43.410","2026-07-09 13:19:43.410",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"526","Semen Volume","mL","1.5",NULL,">= 1.5",NULL,NULL,,NULL,NULL,,">= 1.5 mL","2026-07-09 13:19:43.599","2026-07-09 13:19:43.599",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"527","Sperm Concentration","million/mL","15",NULL,">= 15",NULL,NULL,,NULL,NULL,,">= 15 million/mL","2026-07-09 13:19:43.784","2026-07-09 13:19:43.784",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"528","Total Sperm Motility","%","40",NULL,">= 40",NULL,NULL,,NULL,NULL,,">= 40%","2026-07-09 13:19:43.965","2026-07-09 13:19:43.965",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"529","Sperm Morphology","%","4",NULL,">= 4",NULL,NULL,,NULL,NULL,,">= 4% normal forms","2026-07-09 13:19:44.147","2026-07-09 13:19:44.147",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"530","Serum Albumin","g/dL","3.4","5.4","3.4–5.4","3.4","5.4","3.4–5.4","2.9","5.5","2.9–5.5",,"2026-07-09 13:19:44.324","2026-07-09 13:19:44.324",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"531","Serum Amylase","U/L","28","100","28–100","28","100","28–100","0","65","0–65","28–100","2026-07-09 13:19:44.510","2026-07-09 13:19:44.510",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"532","Serum Cortisol","µg/dL","5","23","5.0-23.0","5","23","5.0-23.0","2","15","2.0-15.0",,"2026-07-09 13:19:44.696","2026-07-09 13:19:44.696",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"533","eGFR","mL/min/1.73m²","90","120",">90","90","120",">90","90","120",">90",">90 mL/min/1.73m²","2026-07-09 13:19:44.877","2026-07-09 13:19:44.877",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"534","Serum Bicarbonate","mmol/L","22","29","22-29","22","29","22-29","20","28","20-28","22-29","2026-07-09 13:19:45.064","2026-07-09 13:19:45.064",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"535","Serum IgE (Total)","IU/mL","0","100","0–100","0","100","0–100","0","20","0–20",,"2026-07-09 13:19:45.248","2026-07-09 13:19:45.248",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"536","Serum Lipase","U/L","0","160","0–160","0","160","0–160","0","160","0–160","0–160","2026-07-09 13:19:45.441","2026-07-09 13:19:45.441",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"537","Serum Lithium","mmol/L","0.6","1.2","0.6–1.2","0.6","1.2","0.6–1.2","0.6","1.2","0.6–1.2","0.6–1.2 mmol/L","2026-07-09 13:19:45.631","2026-07-09 13:19:45.631",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"538","Serum Procalcitonin","ng/mL","0","0.05","< 0.05","0","0.05","< 0.05","0","0.5","< 0.5 (varies by age)","< 0.05 ng/mL","2026-07-09 13:19:45.813","2026-07-09 13:19:45.813",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"539","Serum Total Cholesterol","mg/dL","100","200","100–200","100","200","100–200","70","170","70–170",,"2026-07-09 13:19:45.998","2026-07-09 13:19:45.998",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"540","Total Protein, Serum","g/dL","6.4","8.3","6.4–8.3","6.4","8.3","6.4–8.3","6","8","6.0–8.0",,"2026-07-09 13:19:46.192","2026-07-09 13:19:46.192",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"541","Serum Triglycerides","mg/dL","0","150","< 150 mg/dL","0","150","< 150 mg/dL","0","75","< 75 mg/dL","< 150 mg/dL","2026-07-09 13:19:46.374","2026-07-09 13:19:46.374",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"542","Glutamate Dehydrogenase (GLDH)","U/L","0","7","0–7","0","7","0–7",NULL,NULL,,"0–7","2026-07-09 13:19:46.565","2026-07-09 13:19:46.565",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"543","Sickling Test","Result",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:46.743","2026-07-09 13:19:46.743",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"544","Sickle Cell Solubility",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:46.935","2026-07-09 13:19:46.935",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"545","Skin Scraping for Fungus",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:47.113","2026-07-09 13:19:47.113",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"546","Skin Scraping Cytology",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative for malignant cells / Negative for fungal elements","2026-07-09 13:19:47.296","2026-07-09 13:19:47.296",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"547","Skin Scraping for Fungal Examination","None",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:47.473","2026-07-09 13:19:47.473",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"548","Skin Scraping for KOH","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative for fungal elements","2026-07-09 13:19:47.667","2026-07-09 13:19:47.667",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"549","Skin Smear For Mycobacterium Leprae","Index",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:47.856","2026-07-09 13:19:47.856",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"551","Skin Smear for ZN Stain",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:19:48.224","2026-07-09 13:19:48.224",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"552","Bacterial Index (BI)","Log Scale",NULL,NULL,,NULL,NULL,,NULL,NULL,,"0","2026-07-09 13:19:48.409","2026-07-09 13:19:48.409",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"553","Bacteriological Index","Scale 0-6","0","6","0","0","6","0","0","6","0","0","2026-07-09 13:19:48.594","2026-07-09 13:19:48.594",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"554","Slit Skin Smear",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:48.816","2026-07-09 13:19:48.816",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"555","Sparfloxacin","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Negative","2026-07-09 13:19:49.006","2026-07-09 13:19:49.006",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"556","Sperm Morphology (Normal Forms)","%","4",NULL,">= 4%",NULL,NULL,,NULL,NULL,,">= 4%","2026-07-09 13:19:49.187","2026-07-09 13:19:49.187",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"557","Sputum Culture Result","N/A",NULL,NULL,,NULL,NULL,,NULL,NULL,,"No growth / Normal flora","2026-07-09 13:19:49.371","2026-07-09 13:19:49.371",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"558","Gram Stain Sputum",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"No organisms seen","2026-07-09 13:19:49.563","2026-07-09 13:19:49.563",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"559","Sputum Quality (WBCs/Epithelial Cells)","per LPF",NULL,NULL,,NULL,NULL,,NULL,NULL,,">25 WBCs, <10 epithelial cells per LPF","2026-07-09 13:19:49.749","2026-07-09 13:19:49.749",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"560","Sputum Fungus Culture",,NULL,NULL,,NULL,NULL,,NULL,NULL,,"No fungus isolated","2026-07-09 13:19:49.931","2026-07-09 13:19:49.931",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"561","Sputum Fungal Culture","N/A",NULL,NULL,"No growth of pathogenic fungi",NULL,NULL,"No growth of pathogenic fungi",NULL,NULL,"No growth of pathogenic fungi","No growth of pathogenic fungi","2026-07-09 13:19:50.111","2026-07-09 13:19:50.111",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"562","Stone Composition","%",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Reported as percentage or presence of stone components (e.g., Calcium Oxalate, Uric Acid)","2026-07-09 13:19:50.295","2026-07-09 13:19:50.295",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"563","Stone Weight","mg",NULL,NULL,,NULL,NULL,,NULL,NULL,,,"2026-07-09 13:19:50.481","2026-07-09 13:19:50.481",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"564","Stone Appearance","-NA-",NULL,NULL,,NULL,NULL,,NULL,NULL,,"Observed description","2026-07-09 13:19:50.666","2026-07-09 13:19:50.666",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"565","Stool Culture and Sensitivity","N/A",NULL,NULL,"No pathogenic organisms isolated",NULL,NULL,"No pathogenic organisms isolated",NULL,NULL,"No pathogenic organisms isolated","No pathogenic organisms isolated","2026-07-09 13:19:50.855","2026-07-09 13:19:50.855",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"566","Stool Culture","None",NULL,NULL,,NULL,NULL,,NULL,NULL,,"No enteric pathogens isolated","2026-07-09 13:19:51.040","2026-07-09 13:19:51.040",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"567","Stool for Occult Blood",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:51.225","2026-07-09 13:19:51.225",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"568","Stool Occult Blood",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:51.420","2026-07-09 13:19:51.420",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"569","Stool Reducing Substances","g/dL","0","0.25","0 - 0.25","0","0.25","0 - 0.25","0","0.25","0 - 0.25","0 - 0.25","2026-07-09 13:19:51.604","2026-07-09 13:19:51.604",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"570","Stool Reducing Substances Interpretation","Qualitative","0","0","Negative","0","0","Negative","0","0","Negative","Negative","2026-07-09 13:19:51.797","2026-07-09 13:19:51.797",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"571","Stool Routine Examination",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:51.983","2026-07-09 13:19:51.983",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"572","Stool Color",,NULL,NULL,"Brown",NULL,NULL,"Brown",NULL,NULL,"Brown","Brown","2026-07-09 13:19:52.168","2026-07-09 13:19:52.168",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"573","Stool Consistency",,NULL,NULL,"Formed",NULL,NULL,"Formed",NULL,NULL,"Formed","Formed","2026-07-09 13:19:52.352","2026-07-09 13:19:52.352",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"574","Stool Mucus",,NULL,NULL,"Absent",NULL,NULL,"Absent",NULL,NULL,"Absent","Absent","2026-07-09 13:19:52.537","2026-07-09 13:19:52.537",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"575","Synovial Fluid Appearance","-NA-",NULL,NULL,"Clear to pale yellow",NULL,NULL,"Clear to pale yellow",NULL,NULL,"Clear to pale yellow","Clear to pale yellow","2026-07-09 13:19:52.727","2026-07-09 13:19:52.727",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"576","Synovial Fluid Viscosity","-NA-",NULL,NULL,"High",NULL,NULL,"High",NULL,NULL,"High","High","2026-07-09 13:19:52.910","2026-07-09 13:19:52.910",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"577","Synovial Fluid Total WBC Count","cells/µL","0","200","<200","0","200","<200","0","200","<200",,"2026-07-09 13:19:53.092","2026-07-09 13:19:53.092",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"578","Synovial Fluid Neutrophils","%","0","25","<25","0","25","<25","0","25","<25",,"2026-07-09 13:19:53.274","2026-07-09 13:19:53.274",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"579","Synovial Fluid Crystal Examination","-NA-",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:53.457","2026-07-09 13:19:53.457",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"580","Synovial Fluid WBC Count","cells/µL","0","200","0-200","0","200","0-200","0","200","0-200",,"2026-07-09 13:19:53.639","2026-07-09 13:19:53.639",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"581","Synovial Fluid Crystal Analysis","-NA-",NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:53.820","2026-07-09 13:19:53.820",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"582","Synovial Fluid Cytology","None",NULL,NULL,"Negative for malignant cells",NULL,NULL,"Negative for malignant cells",NULL,NULL,"Negative for malignant cells","Negative for malignant cells","2026-07-09 13:19:54.005","2026-07-09 13:19:54.005",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"583","Synovial Fluid Total Nucleated Cell Count","cells/µL","0","200","0-200","0","200","0-200","0","200","0-200","0-200","2026-07-09 13:19:54.187","2026-07-09 13:19:54.187",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"584","Triiodothyronine (T3)","ng/dL","80","200","80–200","80","200","80–200","100","250","100–250",,"2026-07-09 13:19:54.369","2026-07-09 13:19:54.369",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"585","Total T3","ng/mL","0.8","2","0.8 - 2.0","0.8","2","0.8 - 2.0","0.9","2.5","0.9 - 2.5",,"2026-07-09 13:19:54.552","2026-07-09 13:19:54.552",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"586","Total Thyroxine (T4)","µg/dL","5","12","5.0 - 12.0","5","12","5.0 - 12.0","7","16","7.0 - 16.0",,"2026-07-09 13:19:54.740","2026-07-09 13:19:54.740",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"587","QuantiFERON-TB Gold Result",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:54.931","2026-07-09 13:19:54.931",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"588","QuantiFERON-TB Gold Interpretation",,NULL,NULL,"Negative",NULL,NULL,"Negative",NULL,NULL,"Negative","Negative","2026-07-09 13:19:55.117","2026-07-09 13:19:55.117",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"589","Testosterone","ng/dL","300","1000","300-1000","15","70","15-70","0","20","0-20",,"2026-07-09 13:19:55.303","2026-07-09 13:19:55.303",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
